name,pref,address,companies,lines,exclude
函館,北海道,北海道函館市若松町１２-１３,JR北海道・道南いさりび鉄道・函館市交通局,JR函館本線(函館～長万部)・道南いさりび鉄道線・函館市電２系統・函館市電５系統,北海道
五稜郭,北海道,函館市亀田本町,JR北海道・道南いさりび鉄道,JR函館本線(函館～長万部)・道南いさりび鉄道線,北海道
桔梗,北海道,北海道函館市桔梗３丁目４１-３６,JR北海道,JR函館本線(函館～長万部),北海道
大中山,北海道,亀田郡七飯町大字大中山,JR北海道,JR函館本線(函館～長万部),北海道
七飯,北海道,亀田郡七飯町字本町,JR北海道,JR函館本線(函館～長万部),北海道
新函館北斗,北海道,北海道北斗市市渡,JR北海道,JR函館本線(函館～長万部),北海道
仁山,北海道,亀田郡七飯町字仁山,JR北海道,JR函館本線(函館～長万部),北海道
大沼,北海道,北海道亀田郡七飯町字大沼町４,JR北海道,JR函館本線(函館～長万部),北海道
大沼公園,北海道,北海道亀田郡七飯町字大沼町８５,JR北海道,JR函館本線(函館～長万部),北海道
赤井川,北海道,茅部郡森町字赤井川,JR北海道,JR函館本線(函館～長万部),北海道
駒ケ岳,北海道,北海道茅部郡森町字駒ヶ岳,JR北海道,JR函館本線(函館～長万部),北海道
池田園,北海道,亀田郡七飯町字軍川,JR北海道,JR函館本線(函館～長万部),北海道
流山温泉,北海道,亀田郡七飯町字東大沼２３６,JR北海道,JR函館本線(函館～長万部),北海道
銚子口,北海道,亀田郡七飯町字東大沼,JR北海道,JR函館本線(函館～長万部),北海道
鹿部,北海道,茅部郡鹿部町字本別,JR北海道,JR函館本線(函館～長万部),北海道
渡島沼尻,北海道,茅部郡森町砂原東４丁目,JR北海道,JR函館本線(函館～長万部),北海道
渡島砂原,北海道,茅部郡森町砂原４丁目,JR北海道,JR函館本線(函館～長万部),北海道
掛澗,北海道,茅部郡森町砂原西３丁目,JR北海道,JR函館本線(函館～長万部),北海道
尾白内,北海道,茅部郡森町字尾白内町,JR北海道,JR函館本線(函館～長万部),北海道
東森,北海道,茅部郡森町字港町,JR北海道,JR函館本線(函館～長万部),北海道
森,北海道,茅部郡森町字本町,JR北海道,JR函館本線(函館～長万部),北海道|大阪府
石谷,北海道,茅部郡森町字本茅部町,JR北海道,JR函館本線(函館～長万部),北海道
本石倉,北海道,茅部郡森町字石倉町,JR北海道,JR函館本線(函館～長万部),北海道
石倉,北海道,茅部郡森町字石倉町,JR北海道,JR函館本線(函館～長万部),北海道
落部,北海道,二海郡八雲町落部,JR北海道,JR函館本線(函館～長万部),北海道
野田生,北海道,二海郡八雲町野田生,JR北海道,JR函館本線(函館～長万部),北海道
山越,北海道,二海郡八雲町山越,JR北海道,JR函館本線(函館～長万部),北海道
八雲,北海道,二海郡八雲町本町,JR北海道,JR函館本線(函館～長万部),北海道
山崎,北海道,二海郡八雲町山崎,JR北海道,JR函館本線(函館～長万部),京都府|北海道|愛知県
黒岩,北海道,二海郡八雲町黒岩,JR北海道,JR函館本線(函館～長万部),北海道
国縫,北海道,山越郡長万部町字国縫,JR北海道,JR函館本線(函館～長万部),北海道
中ノ沢,北海道,山越郡長万部町字中の沢,JR北海道,JR函館本線(函館～長万部),北海道
長万部,北海道,山越郡長万部町字長万部,JR北海道,JR函館本線(函館～長万部)・JR函館本線(長万部～小樽)・JR室蘭本線(長万部・室蘭～苫小牧),北海道
二股,北海道,山越郡長万部町字双葉,JR北海道,JR函館本線(長万部～小樽),北海道
黒松内,北海道,寿都郡黒松内町字黒松内,JR北海道,JR函館本線(長万部～小樽),北海道
熱郛,北海道,寿都郡黒松内町字白井川,JR北海道,JR函館本線(長万部～小樽),北海道
目名,北海道,磯谷郡蘭越町目名町,JR北海道,JR函館本線(長万部～小樽),北海道
